rec_id, credit_card, birth_date, salary, age, surname, given_name, gender, city, gender2, income, aus_state, income2, city2, city2
 rec-00-dup-0, , 09-06-2007, 134773.347, 84, wepb, matthew, female, brisbwne, m, 27881.838, tas, 45320.771, melbourne, melbourne
 rec-00-dup-1, 8094 4635 6871 5112, 09-06-2007, 134773.347, 8q, wepp, matthew, female, briwbwne, m, 27881.838, tas, 45320.771, melbourne, melbourne
 rec-00-org, 8094 4635 6871 5112, 09-06-2007, 134773.347, 84, webb, matthew, female, brisbane, m, 27881.838, tas, 45320.771, melbourne, melbourne
 rec-01-org, 7124 2560 8060 9203, 21-11-2000, 107677.621, 25, kayser, caitlin, female, perth, f, 56881.763, vic, 62267.791, sydney, sydney
 rec-02-dup-0, , 10-07-2007, 148915.146, 4q, clarke, jack, female, per6h, na, 47815.235, vic, 50244.564, hobart, hobart
 rec-02-dup-1, 3691 0010 1037 8217, 10-07-2007, 148915.146, 4q, claah1<e, jack, female, pefty, na, 47815.235, vic, 50244.564, hobart, hobart
 rec-02-dup-2, , 10-07-2007, 148915.146, 44, clarcke, jack, female, pergh, na, 47815.235, vic, 50244.564, hobart, hobart
 rec-02-dup-3, 3691 0010 1037 8217, 10-07-2007, 148915.146, 4q, clarcke, jack, female, pef5h, na, 47815.235, vic, 50244.564, hobart, hobart
 rec-02-org, 3691 0010 1037 8217, 10-07-2007, 148915.146, 44, clarke, jack, female, perth, na, 47815.235, vic, 50244.564, hobart, hobart
 rec-03-dup-0, , 11-11-2008, 80924.553, 34, mornson, joshua, female, brisbane, f, 82897.516, tas, 38494.816, melbourne, melbourne
 rec-03-dup-1, 1317 6692 1421 5425, 11-11-2008, 80924.553, 7q, morris0n, joshua, female, brisbzne, f, 82897.516, tas, 38494.816, melbourne, melbourne
 rec-03-org, 1317 6692 1421 5425, 11-11-2008, 80924.553, 74, morrison, joshua, female, brisbane, f, 82897.516, tas, 38494.816, melbourne, melbourne
 rec-04-org, 2391 5586 8628 3540, 25-11-2012, 64201.036, 96, mclaine, liam, male, sydney, m, 37818.095, tas, 22525.546, melbourne, melbourne
 rec-05-org, 5691 5498 2643 8360, 11-09-2009, 96270.400, 73, leane, hayley, male, melbourne, m, 60030.113, vic, 34109.221, sydney, sydney
 rec-06-org, 0692 4921 3209 0551, 31-09-2000, 77567.209, 66, fauser, timothy, male, sydney, f, 18067.467, nsw, 360296.134, melbourne, melbourne
 rec-07-dup-0, 4968 7219 3276 8156, 26-05-2000, 112941.569, 87, rid, lia, female, melgo7rne, na, 77996.695, act, 77377.480, sydney, sydney
 rec-07-dup-1, , 26-05-2000, 112941.569, 68, reid, lia, female, melhourje, na, 77996.695, act, 77377.480, sydney, sydney
 rec-07-dup-2, 4968 7219 3276 8156, 26-05-2000, 112941.569, 87, rit, lia, female, melgpurne, na, 77996.695, act, 77377.480, sydney, sydney
 rec-07-dup-3, , 26-05-2000, 112941.569, 78, re:d, lia, female, melbou5ne, na, 77996.695, act, 77377.480, sydney, sydney
 rec-07-org, 4968 7219 3276 8156, 26-05-2000, 112941.569, 78, reid, lia, female, melbourne, na, 77996.695, act, 77377.480, sydney, sydney
 rec-08-org, 8732 5637 7431 7346, 17-07-2008, 124067.967, 79, lanyon, james, male, perth, f, 138143.939, vic, 50398.778, melbourne, melbourne
 rec-09-org, 7066 1348 4402 3469, 17-04-2004, 81712.297, 65, apted, chloe, male, melbourne, na, 56134.093, sa, 172744.462, melbourne, melbourne
 rec-10-org, 7093 7907 0742 8899, 20-04-2010, 81880.962, 75, menzies, olivia, female, brisbane, f, 317944.843, nsw, 390483.487, sydney, sydney
 rec-11-org, 9815 4053 6157 3676, 03-02-2012, 127467.825, 57, fenwick, cambell, female, melbourne, m, 88886.026, qld, 99113.252, canberra, canberra
